Region	City	County	State	Zip Code	Site Name
2	EDISON TOWNSHIP	MIDDLESEX	New Jersey	8837	RENORA, INC.
2	RINGWOOD BOROUGH	PASSAIC	New Jersey	7456	RINGWOOD MINES/LANDFILL
2	NEWARK	ESSEX	New Jersey	7104	RIVERSIDE INDUSTRIAL PARK
2	ROCKAWAY TOWNSHIP	MORRIS	New Jersey	7866	ROCKAWAY BOROUGH WELL FIELD
2	ROCKAWAY TOWNSHIP	MORRIS	New Jersey	7866	ROCKAWAY TOWNSHIP WELLS
2	ROCKY HILL BOROUGH	SOMERSET	New Jersey	8553	ROCKY HILL MUNICIPAL WELL
2	FLORENCE	BURLINGTON	New Jersey	8554	ROEBLING STEEL CO.
2	GREEN VILLAGE	MORRIS	New Jersey	7935	ROLLING KNOLLS LF
2	GIBBSBORO	CAMDEN	New Jersey	8026	ROUTE 561 DUMP
2	SAYREVILLE	MIDDLESEX	New Jersey	8872	SAYREVILLE LANDFILL
2	CARLSTADT	BERGEN	New Jersey	7072	SCIENTIFIC CHEMICAL PROCESSING
2	PARSIPPANY, TROY HLS	MORRIS	New Jersey	7054	SHARKEY LANDFILL
2	Gibbsboro	CAMDEN	New Jersey	8026	SHERWIN-WILLIAMS/HILLIARDS CREEK
2	NEWFIELD BOROUGH	GLOUCESTER	New Jersey	8344	SHIELDALLOY CORP.
2	SOUTH BRUNSWICK	MIDDLESEX	New Jersey	8852	SOUTH BRUNSWICK LANDFILL
2	MINOTOLA	ATLANTIC	New Jersey	8341	SOUTH JERSEY CLOTHING CO.
2	PLUMSTEAD TOWNSHIP	OCEAN	New Jersey	8533	SPENCE FARM
2	KEARNY	HUDSON	New Jersey	7032	STANDARD CHLORINE
2	PENNSAUKEN TOWNSHIP	CAMDEN	New Jersey	8110	SWOPE OIL & CHEMICAL CO.
2	SOUTH KEARNY	HUDSON	New Jersey	7032	SYNCON RESINS
2	TABERNACLE TOWNSHIP	BURLINGTON	New Jersey	8088	TABERNACLE DRUM DUMP
2	ORANGE	ESSEX	New Jersey	7050	U.S. RADIUM CORP.
2	FAIRFIELD	ESSEX	New Jersey	7004	UNIMATIC MANUFACTURING CORPORATION
2	GIBBSBORO	CAMDEN	New Jersey	8026	UNITED STATES AVENUE BURN
2	EAST RUTHERFORD	BERGEN	New Jersey	7073	UNIVERSAL OIL PRODUCTS (CHEMICAL DIVISION)
2	UPPER DEERFIELD TOWNSHIP	CUMBERLAND	New Jersey	8302	UPPER DEERFIELD TOWNSHIP SANITARY LANDFILL
2	WOOD RIDGE BOROUGH	BERGEN	New Jersey	7075	VENTRON/VELSICOL
2	VINELAND	CUMBERLAND	New Jersey	8360	VINELAND CHEMICAL CO., INC.
2	VINELAND	CUMBERLAND	New Jersey	8360	VINELAND STATE SCHOOL
2	WAYNE TOWNSHIP	PASSAIC	New Jersey	7470	W.R. GRACE & CO., INC./WAYNE INTERIM STORAGE SITE (USDOE)
2	WALL TOWNSHIP	MONMOUTH	New Jersey	7719	WALDICK AEROSPACE DEVICES, INC.
2	CAMDEN AND GLOUCESTER CITY	CAMDEN	New Jersey	8030	WELSBACH & GENERAL GAS MANTLE (CAMDEN RADIATION)
2	NEWARK	ESSEX	New Jersey	7114	WHITE CHEMICAL CORP.
2	WALL TWP	MONMOUTH	New Jersey	7719	WHITE SWAN LAUNDRY AND CLEANER INC.
2	SWAINTON MIDDLE	CAPE MAY	New Jersey	8210	WILLIAMS PROPERTY
2	PLUMSTEAD TOWNSHIP		New Jersey	8533	WILSON FARM
2	OAKLAND	BERGEN	New Jersey	7436	WITCO CHEMICAL CORP. (OAKLAND PLANT)
2	SOUTH PLAINFIELD	MIDDLESEX	New Jersey	8820	WOODBROOK ROAD DUMP
2	WOODLAND TOWNSHIP	BURLINGTON	New Jersey	8019	WOODLAND ROUTE 532 DUMP
2	WOODLAND TOWNSHIP	BURLINGTON	New Jersey	8019	WOODLAND ROUTE 72 DUMP
2	HOWELL TOWNSHIP	MONMOUTH	New Jersey	7731	ZSCHIEGNER REFINING
